"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7773","should enable the Register button when all data is valid","prod","Thu Mar 13 20:15:58 CET 2025","passed","Thu Mar 13 20:16:06 CET 2025","Basic Auth Test with Registration Form - Full Validation","tests\registration_positive.spec.js","",""
"","5341","Invalid Name (only spaces)","qa","Thu Mar 13 20:17:20 CET 2025","passed","Thu Mar 13 20:17:25 CET 2025","Negative tests","tests\registration_negative.spec.js","",""
"","1108","should allow me to display completed items","qa","Thu Mar 13 20:18:38 CET 2025","passed","Thu Mar 13 20:18:39 CET 2025","Routing","tests-examples\demo-todo-app.spec.ts","",""
"","4651","has title","qa","Thu Mar 13 20:17:02 CET 2025","passed","Thu Mar 13 20:17:06 CET 2025","","tests\example.spec.ts","",""
"","3815","Last name field with Cyrillic input","qa","Thu Mar 13 20:17:47 CET 2025","passed","Thu Mar 13 20:17:51 CET 2025","Negative tests","tests\registration_negative.spec.js","",""
"","1896","should allow me to un-mark items as complete","qa","Thu Mar 13 20:18:20 CET 2025","passed","Thu Mar 13 20:18:22 CET 2025","Item","tests-examples\demo-todo-app.spec.ts","",""
"","6083","Long Name (21 characters)","qa","Thu Mar 13 20:17:31 CET 2025","passed","Thu Mar 13 20:17:37 CET 2025","Negative tests","tests\registrationNegative.spec.js","",""
"","1411","should trim entered text","qa","Thu Mar 13 20:18:27 CET 2025","passed","Thu Mar 13 20:18:29 CET 2025","Editing","tests-examples\demo-todo-app.spec.ts","",""
"","880","should be hidden when there are no items that are completed","qa","Thu Mar 13 20:18:34 CET 2025","passed","Thu Mar 13 20:18:35 CET 2025","Clear completed button","tests-examples\demo-todo-app.spec.ts","",""
"","13492","should allow me to mark all items as completed","prod","Thu Mar 13 20:16:28 CET 2025","passed","Thu Mar 13 20:16:41 CET 2025","Mark all as completed","tests-examples\demo-todo-app.spec.ts","",""
"","15444","should validate required fields","prod","Thu Mar 13 20:16:07 CET 2025","passed","Thu Mar 13 20:16:23 CET 2025","Registration Form - Full Validation","tests\registrationPositive.spec.js","",""
"","6482","complete all checkbox should update state when items are completed / cleared","prod","Thu Mar 13 20:16:46 CET 2025","passed","Thu Mar 13 20:16:52 CET 2025","Mark all as completed","tests-examples\demo-todo-app.spec.ts","",""
"","9804","should remove completed items when clicked","prod","Thu Mar 13 20:17:45 CET 2025","passed","Thu Mar 13 20:17:55 CET 2025","Clear completed button","tests-examples\demo-todo-app.spec.ts","",""
"","2307","should allow me to mark items as complete","qa","Thu Mar 13 20:18:18 CET 2025","passed","Thu Mar 13 20:18:20 CET 2025","Item","tests-examples\demo-todo-app.spec.ts","",""
"","3395","Empty Name field","qa","Thu Mar 13 20:17:11 CET 2025","passed","Thu Mar 13 20:17:15 CET 2025","Negative tests","tests\registrationNegative.spec.js","",""
"","2866","should allow me to mark all items as completed","qa","Thu Mar 13 20:18:11 CET 2025","passed","Thu Mar 13 20:18:14 CET 2025","Mark all as completed","tests-examples\demo-todo-app.spec.ts","",""
"","2024","should clear text input field when an item is added","prod","Thu Mar 13 20:16:22 CET 2025","passed","Thu Mar 13 20:16:24 CET 2025","New Todo","tests-examples\demo-todo-app.spec.ts","",""
"","5814","Mismatched Passwords","prod","Thu Mar 13 20:17:02 CET 2025","passed","Thu Mar 13 20:17:08 CET 2025","Negative tests","tests\registrationNegative.spec.js","",""
"","1123","should cancel edits on escape","qa","Thu Mar 13 20:18:30 CET 2025","passed","Thu Mar 13 20:18:31 CET 2025","Editing","tests-examples\demo-todo-app.spec.ts","",""
"","2882","Mismatched Passwords","qa","Thu Mar 13 20:18:22 CET 2025","passed","Thu Mar 13 20:18:25 CET 2025","Negative tests","tests\registrationNegative.spec.js","",""
"","4933","Invalid Password (no numbers)","prod","Thu Mar 13 20:17:01 CET 2025","passed","Thu Mar 13 20:17:06 CET 2025","Negative tests","tests\registration_negative.spec.js","",""
"","4713","Name field with Cyrillic input","qa","Thu Mar 13 20:17:20 CET 2025","passed","Thu Mar 13 20:17:25 CET 2025","Negative tests","tests\registrationNegative.spec.js","",""
"","4229","Short Name (1 character)","qa","Thu Mar 13 20:17:25 CET 2025","passed","Thu Mar 13 20:17:30 CET 2025","Negative tests","tests\registrationNegative.spec.js","",""
"","3710","Long Last name (21 characters)","prod","Thu Mar 13 20:16:54 CET 2025","passed","Thu Mar 13 20:16:57 CET 2025","Negative tests","tests\registrationNegative.spec.js","",""
"","2506","should display the current number of todo items","prod","Thu Mar 13 20:17:40 CET 2025","passed","Thu Mar 13 20:17:42 CET 2025","Counter","tests-examples\demo-todo-app.spec.ts","",""
"","5621","Short Last name (1 character)","prod","Thu Mar 13 20:16:47 CET 2025","passed","Thu Mar 13 20:16:53 CET 2025","Negative tests","tests\registrationNegative.spec.js","",""
"","4111","Invalid Email format","prod","Thu Mar 13 20:16:57 CET 2025","passed","Thu Mar 13 20:17:02 CET 2025","Negative tests","tests\registrationNegative.spec.js","",""
"","2130","should allow me to display completed items","prod","Thu Mar 13 20:18:13 CET 2025","passed","Thu Mar 13 20:18:16 CET 2025","Routing","tests-examples\demo-todo-app.spec.ts","",""
"","9160","Empty Name field","prod","Thu Mar 13 20:15:58 CET 2025","passed","Thu Mar 13 20:16:07 CET 2025","Negative tests","tests\registration_negative.spec.js","",""
"","3658","Long Name (21 characters)","prod","Thu Mar 13 20:16:27 CET 2025","passed","Thu Mar 13 20:16:31 CET 2025","Negative tests","tests\registrationNegative.spec.js","",""
"","7410","Short Last name (1 character)","qa","Thu Mar 13 20:17:51 CET 2025","passed","Thu Mar 13 20:17:59 CET 2025","Negative tests","tests\registration_negative.spec.js","",""
"","1023","should allow me to display all items","qa","Thu Mar 13 20:18:39 CET 2025","passed","Thu Mar 13 20:18:40 CET 2025","Routing","tests-examples\demo-todo-app.spec.ts","",""
"","5353","Name field with Cyrillic input","prod","Thu Mar 13 20:16:16 CET 2025","passed","Thu Mar 13 20:16:21 CET 2025","Negative tests","tests\registration_negative.spec.js","",""
"","8753","Long Last name (21 characters)","qa","Thu Mar 13 20:17:58 CET 2025","failed","Thu Mar 13 20:18:07 CET 2025","Negative tests","tests\registrationNegative.spec.js","",""
"","4000","Invalid Email format","prod","Thu Mar 13 20:16:53 CET 2025","passed","Thu Mar 13 20:16:57 CET 2025","Negative tests","tests\registration_negative.spec.js","",""
"","4878","Invalid Last name (only spaces)","qa","Thu Mar 13 20:17:37 CET 2025","passed","Thu Mar 13 20:17:42 CET 2025","Negative tests","tests\registrationNegative.spec.js","",""
"","6789","should allow me to edit an item","prod","Thu Mar 13 20:17:00 CET 2025","passed","Thu Mar 13 20:17:06 CET 2025","Item","tests-examples\demo-todo-app.spec.ts","",""
"","4590","Short Name (1 character)","prod","Thu Mar 13 20:16:21 CET 2025","passed","Thu Mar 13 20:16:26 CET 2025","Negative tests","tests\registration_negative.spec.js","",""
"","4598","Empty Name field","qa","Thu Mar 13 20:17:12 CET 2025","passed","Thu Mar 13 20:17:17 CET 2025","Negative tests","tests\registration_negative.spec.js","",""
"","2042","should display the correct text","prod","Thu Mar 13 20:17:43 CET 2025","passed","Thu Mar 13 20:17:45 CET 2025","Clear completed button","tests-examples\demo-todo-app.spec.ts","",""
"","1860","should allow me to add todo items","qa","Thu Mar 13 20:18:05 CET 2025","passed","Thu Mar 13 20:18:07 CET 2025","New Todo","tests-examples\demo-todo-app.spec.ts","",""
"","6318","Invalid Name (only spaces)","prod","Thu Mar 13 20:16:09 CET 2025","passed","Thu Mar 13 20:16:15 CET 2025","Negative tests","tests\registration_negative.spec.js","",""
"","7255","Invalid Password (no numbers)","qa","Thu Mar 13 20:18:25 CET 2025","failed","Thu Mar 13 20:18:32 CET 2025","Negative tests","tests\registrationNegative.spec.js","",""
"","3942","Short Name (1 character)","qa","Thu Mar 13 20:17:29 CET 2025","passed","Thu Mar 13 20:17:33 CET 2025","Negative tests","tests\registration_negative.spec.js","",""
"","1205","should respect the back button","qa","Thu Mar 13 20:18:37 CET 2025","passed","Thu Mar 13 20:18:38 CET 2025","Routing","tests-examples\demo-todo-app.spec.ts","",""
"","3432","should allow me to mark items as complete","prod","Thu Mar 13 20:16:53 CET 2025","passed","Thu Mar 13 20:16:56 CET 2025","Item","tests-examples\demo-todo-app.spec.ts","",""
"","3836","should be hidden when there are no items that are completed","prod","Thu Mar 13 20:17:57 CET 2025","passed","Thu Mar 13 20:18:01 CET 2025","Clear completed button","tests-examples\demo-todo-app.spec.ts","",""
"","4352","Short Name (1 character)","prod","Thu Mar 13 20:16:23 CET 2025","passed","Thu Mar 13 20:16:27 CET 2025","Negative tests","tests\registrationNegative.spec.js","",""
"","4030","Short Name (21 character)","qa","Thu Mar 13 20:17:35 CET 2025","passed","Thu Mar 13 20:17:39 CET 2025","Negative tests","tests\registration_negative.spec.js","",""
"","14884","should validate required fields","qa","Thu Mar 13 20:17:26 CET 2025","passed","Thu Mar 13 20:17:41 CET 2025","Registration Form - Full Validation","tests\registrationPositive.spec.js","",""
"","1490","should allow me to edit an item","qa","Thu Mar 13 20:18:22 CET 2025","passed","Thu Mar 13 20:18:24 CET 2025","Item","tests-examples\demo-todo-app.spec.ts","",""
"","3456","Empty Last name field","qa","Thu Mar 13 20:17:40 CET 2025","passed","Thu Mar 13 20:17:43 CET 2025","Negative tests","tests\registration_negative.spec.js","",""
"","4001","Invalid Last name (only spaces)","prod","Thu Mar 13 20:16:35 CET 2025","passed","Thu Mar 13 20:16:39 CET 2025","Negative tests","tests\registration_negative.spec.js","",""
"","3647","Name field with Cyrillic input","prod","Thu Mar 13 20:16:19 CET 2025","passed","Thu Mar 13 20:16:22 CET 2025","Negative tests","tests\registrationNegative.spec.js","",""
"","4114","Last name field with Cyrillic input","qa","Thu Mar 13 20:17:47 CET 2025","passed","Thu Mar 13 20:17:51 CET 2025","Negative tests","tests\registrationNegative.spec.js","",""
"","4519","Invalid Name (only spaces)","qa","Thu Mar 13 20:17:15 CET 2025","passed","Thu Mar 13 20:17:19 CET 2025","Negative tests","tests\registrationNegative.spec.js","",""
"","2918","get started link","qa","Thu Mar 13 20:17:08 CET 2025","passed","Thu Mar 13 20:17:11 CET 2025","","tests\example.spec.ts","",""
"","1839","complete all checkbox should update state when items are completed / cleared","qa","Thu Mar 13 20:18:16 CET 2025","passed","Thu Mar 13 20:18:18 CET 2025","Mark all as completed","tests-examples\demo-todo-app.spec.ts","",""
"","20177","should cancel edits on escape","prod","Thu Mar 13 20:17:20 CET 2025","passed","Thu Mar 13 20:17:40 CET 2025","Editing","tests-examples\demo-todo-app.spec.ts","",""
"","970","should highlight the currently applied filter","qa","Thu Mar 13 20:18:40 CET 2025","passed","Thu Mar 13 20:18:41 CET 2025","Routing","tests-examples\demo-todo-app.spec.ts","",""
"","3032","should allow me to add todo items","prod","Thu Mar 13 20:16:19 CET 2025","passed","Thu Mar 13 20:16:22 CET 2025","New Todo","tests-examples\demo-todo-app.spec.ts","",""
"","3397","Invalid Password (no numbers)","qa","Thu Mar 13 20:18:09 CET 2025","passed","Thu Mar 13 20:18:12 CET 2025","Negative tests","tests\registration_negative.spec.js","",""
"","2479","Short Last name (21 character)","prod","Thu Mar 13 20:16:51 CET 2025","passed","Thu Mar 13 20:16:53 CET 2025","Negative tests","tests\registration_negative.spec.js","",""
"","3714","Name field with Cyrillic input","qa","Thu Mar 13 20:17:26 CET 2025","passed","Thu Mar 13 20:17:29 CET 2025","Negative tests","tests\registration_negative.spec.js","",""
"","14644","should enable the Register button when all data is valid","prod","Thu Mar 13 20:16:31 CET 2025","passed","Thu Mar 13 20:16:46 CET 2025","Registration Form - Full Validation","tests\registrationPositive.spec.js","",""
"","2776","should allow me to un-mark items as complete","prod","Thu Mar 13 20:16:57 CET 2025","passed","Thu Mar 13 20:16:59 CET 2025","Item","tests-examples\demo-todo-app.spec.ts","",""
"","1388","should hide other controls when editing","qa","Thu Mar 13 20:18:24 CET 2025","passed","Thu Mar 13 20:18:25 CET 2025","Editing","tests-examples\demo-todo-app.spec.ts","",""
"","2355","Mismatched Passwords","qa","Thu Mar 13 20:18:06 CET 2025","passed","Thu Mar 13 20:18:09 CET 2025","Negative tests","tests\registration_negative.spec.js","",""
"","974","should remove completed items when clicked","qa","Thu Mar 13 20:18:33 CET 2025","passed","Thu Mar 13 20:18:34 CET 2025","Clear completed button","tests-examples\demo-todo-app.spec.ts","",""
"","3379","should append new items to the bottom of the list","prod","Thu Mar 13 20:16:24 CET 2025","passed","Thu Mar 13 20:16:28 CET 2025","New Todo","tests-examples\demo-todo-app.spec.ts","",""
"","1204","should display the correct text","qa","Thu Mar 13 20:18:32 CET 2025","passed","Thu Mar 13 20:18:33 CET 2025","Clear completed button","tests-examples\demo-todo-app.spec.ts","",""
"","1644","should allow me to clear the complete state of all items","qa","Thu Mar 13 20:18:14 CET 2025","passed","Thu Mar 13 20:18:16 CET 2025","Mark all as completed","tests-examples\demo-todo-app.spec.ts","",""
"","927","should allow me to display active items","qa","Thu Mar 13 20:18:36 CET 2025","passed","Thu Mar 13 20:18:37 CET 2025","Routing","tests-examples\demo-todo-app.spec.ts","",""
"","4407","Last name field with Cyrillic input","prod","Thu Mar 13 20:16:42 CET 2025","passed","Thu Mar 13 20:16:47 CET 2025","Negative tests","tests\registrationNegative.spec.js","",""
"","5900","should enable the Register button when all data is valid","qa","Thu Mar 13 20:17:17 CET 2025","passed","Thu Mar 13 20:17:23 CET 2025","Basic Auth Test with Registration Form - Full Validation","tests\registration_positive.spec.js","",""
"","3667","Short Last name (21 character)","qa","Thu Mar 13 20:17:59 CET 2025","passed","Thu Mar 13 20:18:03 CET 2025","Negative tests","tests\registration_negative.spec.js","",""
"","10960","Empty Name field","prod","Thu Mar 13 20:15:58 CET 2025","passed","Thu Mar 13 20:16:09 CET 2025","Negative tests","tests\registrationNegative.spec.js","",""
"","4600","Invalid Email format","qa","Thu Mar 13 20:18:16 CET 2025","passed","Thu Mar 13 20:18:21 CET 2025","Negative tests","tests\registrationNegative.spec.js","",""
"","3659","Mismatched Passwords","prod","Thu Mar 13 20:16:58 CET 2025","passed","Thu Mar 13 20:17:01 CET 2025","Negative tests","tests\registration_negative.spec.js","",""
"","1795","should clear text input field when an item is added","qa","Thu Mar 13 20:18:07 CET 2025","passed","Thu Mar 13 20:18:09 CET 2025","New Todo","tests-examples\demo-todo-app.spec.ts","",""
"","1036","should remove the item if an empty text string was entered","qa","Thu Mar 13 20:18:29 CET 2025","passed","Thu Mar 13 20:18:30 CET 2025","Editing","tests-examples\demo-todo-app.spec.ts","",""
"","4675","Invalid Name (only spaces)","prod","Thu Mar 13 20:16:14 CET 2025","passed","Thu Mar 13 20:16:19 CET 2025","Negative tests","tests\registrationNegative.spec.js","",""
"","10256","has title","prod","Thu Mar 13 20:15:58 CET 2025","passed","Thu Mar 13 20:16:08 CET 2025","","tests\example.spec.ts","",""
"","5716","Short Last name (1 character)","qa","Thu Mar 13 20:17:52 CET 2025","passed","Thu Mar 13 20:17:58 CET 2025","Negative tests","tests\registrationNegative.spec.js","",""
"","1072","should persist its data","qa","Thu Mar 13 20:18:35 CET 2025","passed","Thu Mar 13 20:18:36 CET 2025","Persistence","tests-examples\demo-todo-app.spec.ts","",""
"","4732","should remove the item if an empty text string was entered","prod","Thu Mar 13 20:17:15 CET 2025","passed","Thu Mar 13 20:17:20 CET 2025","Editing","tests-examples\demo-todo-app.spec.ts","",""
"","2523","should append new items to the bottom of the list","qa","Thu Mar 13 20:18:09 CET 2025","passed","Thu Mar 13 20:18:11 CET 2025","New Todo","tests-examples\demo-todo-app.spec.ts","",""
"","3825","Empty Last name field","prod","Thu Mar 13 20:16:31 CET 2025","passed","Thu Mar 13 20:16:35 CET 2025","Negative tests","tests\registration_negative.spec.js","",""
"","4198","Last name field with Cyrillic input","prod","Thu Mar 13 20:16:39 CET 2025","passed","Thu Mar 13 20:16:44 CET 2025","Negative tests","tests\registration_negative.spec.js","",""
"","2674","should highlight the currently applied filter","prod","Thu Mar 13 20:18:19 CET 2025","passed","Thu Mar 13 20:18:21 CET 2025","Routing","tests-examples\demo-todo-app.spec.ts","",""
"","1624","should save edits on blur","qa","Thu Mar 13 20:18:25 CET 2025","passed","Thu Mar 13 20:18:27 CET 2025","Editing","tests-examples\demo-todo-app.spec.ts","",""
"","11984","should enable the Register button when all data is valid","qa","Thu Mar 13 20:17:47 CET 2025","passed","Thu Mar 13 20:17:59 CET 2025","Registration Form - Full Validation","tests\registrationPositive.spec.js","",""
"","6060","Short Last name (1 character)","prod","Thu Mar 13 20:16:45 CET 2025","passed","Thu Mar 13 20:16:51 CET 2025","Negative tests","tests\registration_negative.spec.js","",""
"","3899","Empty Last name field","qa","Thu Mar 13 20:17:43 CET 2025","passed","Thu Mar 13 20:17:47 CET 2025","Negative tests","tests\registrationNegative.spec.js","",""
"","3177","should save edits on blur","prod","Thu Mar 13 20:17:08 CET 2025","passed","Thu Mar 13 20:17:12 CET 2025","Editing","tests-examples\demo-todo-app.spec.ts","",""
"","3643","should respect the back button","prod","Thu Mar 13 20:18:10 CET 2025","passed","Thu Mar 13 20:18:13 CET 2025","Routing","tests-examples\demo-todo-app.spec.ts","",""
"","4830","Invalid Last name (only spaces)","prod","Thu Mar 13 20:16:31 CET 2025","passed","Thu Mar 13 20:16:36 CET 2025","Negative tests","tests\registrationNegative.spec.js","",""
"","4421","should allow me to display active items","prod","Thu Mar 13 20:18:05 CET 2025","passed","Thu Mar 13 20:18:09 CET 2025","Routing","tests-examples\demo-todo-app.spec.ts","",""
"","4350","should allow me to clear the complete state of all items","prod","Thu Mar 13 20:16:41 CET 2025","passed","Thu Mar 13 20:16:46 CET 2025","Mark all as completed","tests-examples\demo-todo-app.spec.ts","",""
"","3218","should trim entered text","prod","Thu Mar 13 20:17:12 CET 2025","passed","Thu Mar 13 20:17:15 CET 2025","Editing","tests-examples\demo-todo-app.spec.ts","",""
